,Xn,F(Xn),||F`(Xn)||
53,[-451.82061686 -190.15022443],4082847.378331974,16697.11277440794
54,[424.66351667 172.90138994],3606792.0591710676,15693.517274942427
55,[-399.13872194 -168.32867063],3186244.3798941616,14750.243816787624
56,[375.14811695 152.39143878],2814732.1975349262,13863.66668752271
57,[-352.5994908  -149.05149061],2486538.015418317,13030.378101545537
58,[331.40617    134.27293064],2196610.992053475,12247.175101378416
59,[-311.486694  -132.0220129],1940489.2097138613,11511.047246283104
60,[292.76449629 118.26702511],1714231.0064339552,10819.165040863058
61,[-275.16761393 -116.9781575 ],1514354.3146359469,10168.869059175302
62,[258.62840839 104.12739445],1337783.072820274,9557.659722547678
63,[-243.0833073  -103.68840262],1181799.8856068489,8983.18769180991
64,[228.47255891  91.63643256],1044004.2035746768,8443.24483700853
65,[-214.74000319  -91.94822168],922275.3792961237,7935.755749895523
66,[201.83285547  80.60190608],814740.0310057537,7458.769766566732
67,[-189.7015039   -81.57693571],719743.2116372399,7010.453469586984
68,[178.29931849  70.85399589],635822.9395257281,6589.083640781994
69,[-167.58247206  -72.41493274],561687.6988083486,6193.0406376092415
70,[157.50977164  62.24268362],496196.56325863604,5820.802167648255
71,[-148.04250026  -64.32121141],438341.6376647229,5470.937437280939
72,[139.14426803  54.63544295],387232.54652770236,5142.101652070928
73,[-130.78087233  -57.17121102],342082.7313643915,4833.030847702742
74,[122.92016631  47.91519998],302197.3457327825,4542.537031612166
75,[-115.53193534  -50.85489451],266962.5616870903,4269.503616633447
76,[108.58778087  41.97853155],235836.12309092723,4012.8811291113793
77,[-102.06101126  -45.27505506],208339.00040601724,3771.683174981308
78,[95.92653922 36.73407354],184048.0185253533,3544.982648311645
79,[-90.16078532 -40.34582007],162589.3441946549,3331.908167735462
80,[84.74158743 32.10111481],143632.7327948696,3131.640727073688
81,[-79.64811547 -35.99132964],126886.44594487594,2943.410547275702
82,[74.86079138 28.00835508],112092.76170733088,2766.494117576977
83,[-70.36121385 -32.14456904],99024.00830064525,2600.211414500695
84,[66.13208763 24.3928076 ],87479.06027672427,2443.9232880138516
85,[-62.15715697 -28.74633741],77280.24324136335,2297.0290047908875
86,[58.42114321 21.19882985],68270.59948157774,2158.963939141738
87,[-54.90968604 -25.74433666],60311.47241842895,2029.197402728809
88,[51.60928827 18.37726715],53280.37271056941,1907.2306047308264
89,[-48.50726398 -23.09236661],47069.09316827444,1792.594734612939
90,[45.59168974 15.88469622],41582.043466873336,1684.8491601337064
91,[-42.85135881 -20.74961398],36734.77903115905,1583.5797336625544
92,[40.27573801 13.68275692],32452.70145060776,1488.3972002975975
93,[-37.8549273  -18.68002429],28669.910425063426,1398.9357016650165
94,[35.57962168 11.73756184],25328.189572566327,1314.8513696489733
95,[-33.44107541 -16.85174698],22376.11049111426,1235.8210046466882
96,[31.43106846 10.01917483],19768.24128605042,1161.5408332682355
97,[-29.54187484 -15.23664522],17464.447382475504,1091.7253407059434
98,[27.76623297  8.50115027],15429.273862329961,1026.1061732853177
99,[-26.0973177  -13.80986293],13631.399820440041,964.4311069791645
100,[24.52871413  7.16012606],12043.156342178576,906.4630779201315
101,[-23.05439295 -12.54944223],10640.10068451502,851.9792711851939
102,[21.66868721  5.97546412],9400.640107188075,800.7702643495982
103,[-20.3662706 -11.4359855],8305.699564839304,752.6392225182918
104,[19.14213696  4.92893274],7338.428145957563,707.4011417407386
105,[-17.991581   -10.45235686],6483.93974078946,664.8821379009897
106,[16.91018029  4.00442602],5729.083947147949,624.9187783496793
107,[-15.89377817  -9.58341847],5062.243688406159,587.3574537089008
108,[14.93846784  3.18771598],4473.156429058717,552.0537874353357
109,[-14.04057733  -8.81579755],3952.756236394506,518.8720808721399
110,[13.19665537  2.46623363],3493.0342576422504,487.6847916565017
111,[-12.40345812  -8.13768057],3086.9154653606743,458.37204347800133
112,[11.65793673  1.8288755 ],2728.149774209919,430.82116530339755
113,[-10.95722559  -7.53863145],2411.2158534135656,404.92625829673926
114,[10.29863135  1.26583278],2131.236154604684,380.58778877014606
115,[-9.67962253 -7.00943093],1883.9018473517833,357.71220560066035
116,[9.09781981 0.76844035],1665.4065071377365,336.2115806426166
117,[-8.55098689 -6.54193474],1472.3875352632158,316.00327075335895
118,[8.03702186 0.32904346],1301.8744091388821,297.00960013321793
119,[-7.55394919 -6.1289482 ],1151.2429665489067,279.157561758738
120,[ 7.09991204 -0.05912014],1018.1750203299605,262.3785367615393
121,[-6.67316522 -5.76411554],900.6226819438273,246.60803067417388
122,[ 6.27206842 -0.4020242 ],796.7768448906918,231.7854255291697
123,[-5.89507991 -5.44182205],705.0393429292809,217.85374685839287
124,[ 5.54075065 -0.70494594],623.9983546245337,204.75944469712982
125,[-5.20771867 -5.1571077 ],552.4066757038145,192.4521877511227
126,[ 4.8947039  -0.97254726],489.1625248376639,180.88466993538657
127,[-4.60050317 -4.9055908 ],433.2925874499708,170.0124285411916
128,[ 4.32398564 -1.2089465 ],383.93703660526165,159.7936733322874
129,[-4.06408846 -4.68340056],340.33630044762185,150.1891259134578
130,[ 3.81981264 -1.4177818 ],301.8193725448325,141.1618687539786
131,[-3.59021925 -4.48711751],267.7934852363055,132.67720328566037
132,[ 3.37442578 -1.60226708],237.73498705974797,124.70251653004063
133,[-3.17160278 -4.31372089],211.18128386201596,117.20715574207286
134,[ 2.98097064 -1.76524153],187.72371956949422,110.16231058847303
135,[-2.80179663 -4.16054216],167.00128705451505,103.54090240784622
136,[ 2.63339204 -1.9092133 ],148.69507230933075,97.31748012693652
137,[-2.47510956 -4.02522395],132.52334642461324,91.46812243292759
138,[ 2.32634079 -2.03639809],118.237229839029,85.97034582576792
139,[-2.18651392 -3.90568372],105.61686213357736,80.80301819709685
140,[ 2.05509146 -2.14875324],94.4680184246072,75.94627760358954
141,[-1.93156828 -3.80008178],84.61912028249111,71.38145592250558
142,[ 1.81546957 -2.24800788],75.91859517460638,67.09100709599204
143,[-1.70634908 -3.70679293],68.23254379498802,63.05843968832932
144,[ 1.60378738 -2.33568951],61.44267938133356,59.26825349688648
145,[-1.50739025 -3.62438149],55.44450730586918,55.70587997313421
146,[ 1.41678716 -2.41314754],50.1457169243516,52.357626224708156
147,[-1.33162985 -3.55157914],45.464760934090336,49.210622383280366
148,[ 1.251591   -2.48157404],41.329600377599775,46.252772135933725
149,[-1.17636295 -3.48726549],37.67659597774408,43.47270622989429
150,[ 1.10565656 -2.54202206],34.44952874224836,40.85973877190483
151,[-1.03920005 -3.43045075],31.59873476487961,38.40382615426521
152,[ 0.97673796 -2.59542189],29.080340908064443,36.09552844966141
153,[-0.91803022 -3.38026057],26.855589604254618,33.9259731263942
154,[ 0.86285116 -2.64259535],24.890242384871364,31.88682094453773
155,[-0.81098869 -3.33592251],23.1540529572608,29.970233901941352
156,[ 0.76224346 -2.68426842],21.620301720422024,28.168845106866655
157,[-0.7164281  -3.29675424],20.2653845558002,26.47573046145785
158,[ 0.67336653 -2.72108245],19.068449564718723,24.88438204720344
159,[-0.6328932  -3.26215295],18.01107616191362,23.388683110089495
160,[ 0.59485257 -2.753604  ],17.076991586485292,21.982884549293512
161,[-0.5590984  -3.23158614],16.25182046742893,20.66158281904732
162,[ 0.52549327 -2.78233356],15.52286358960822,19.419699158728978
163,[-0.49390801 -3.2045834 ],14.87890245542579,18.25246007134935
164,[ 0.46422121 -2.80771328],14.310026634434463,17.15537897539743
165,[-0.43631876 -3.18072915],13.807481243835053,16.124238959518564
166,[ 0.41009342 -2.83013374],13.363532212616576,15.155076573738778
167,[-0.38544437 -3.15965629],12.971347255781641,14.244166594932645
168,[ 0.36227688 -2.84994   ],12.62489072687455,13.388007707976914
169,[-0.34050189 -3.1410405 ],12.318830730613985,12.58330904755167
170,[ 0.32003571 -2.86743687],12.048457066112668,11.826977548859114
171,[-0.30079966 -3.1245953 ],11.809608737846878,11.116106058639119
172,[ 0.28271982 -2.88289362],11.598609918784431,10.447962160783275
173,[-0.26572668 -3.1100676 ],11.412213380156773,9.819977673595798
174,[ 0.24975493 -2.89654812],11.247550517270835,9.229738778331336
175,[-0.23474318 -3.09723381],11.102087202268228,8.674976741066233
176,[ 0.22063372 -2.90861052],10.97358478441457,8.153559192240293
177,[-0.20737233 -3.08589643],10.860065637721533,7.6634819303498345
178,[ 0.19490802 -2.91926645],10.759782725686442,7.202861218287416
